video,summary
B0249.23,"Animals such as monkeys, baboons, and kangaroos are walking, sitting, and standing on the ground, in trees, and in the desert."
B0647.52,"Baboons sit on top of various structures, including trees, hills, and piles of brush."
B1048.3,The bear and the person are standing or climbing on rocks.
B0063.12,"The baboons and monkeys sit in and on trees, often with their babies, in various locations such as forests, rivers, and hills."
B1035.16,"Animals, including bears, monkeys, birds, and a mountain lion, are sitting, standing, and climbing on cliffs and rock formations."
B0919.3,"The baboons, wild boars, wildebeest, bighorn sheep, and other animals are standing on, walking on, and drinking from the rocks and water near the waterholes."
B0674.35,The baboons are sitting in and on the branches of the tree.
B0693.22,"The giraffes, leopards, and cheetahs are standing, sitting, and perching on top of and in trees."
B1050.32,"Monkeys are seen sitting on, standing on, or perched on cliffs and rocks."
B0562.8,"Monkeys and baboons are sitting, standing, and climbing on rocks and cliffs."
B0773.4,Baboons and monkeys sit on tree branches.
B1025.37,"The birds and penguins are perched, sitting, and standing on rocks and cliffs."
B0886.3,"The animals sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit"
B0698.36,"Various animals, including giraffes, birds, leopards, lions, cheetahs, hyenas, elephants, eagles, monkeys, and others, are sitting, standing, and gathering in trees in both natural and wild settings."
B0238.8,The birds and baboons are walking in the desert.
B0646.9,The baboons are sitting.
B0922.18,"Monkeys and baboons are climbing, sitting, and mating on and around rocks."
B0931.15,"The animals, including baboons, monkeys, and birds, are walking, standing, and sitting on the rocks and rocky hillside."
B0879.12,"Animals are sitting, standing, and laying on rocks in the water, near a river, and by a stream."
B0881.34,"Animals of various species, including monkeys, koalas, baboons, and elephants, are standing, walking, and sitting on rocks near water."
B0636.16,Monkeys and baboons are sitting in and on top of trees.
B0685.13,"The baboons sit in and on trees, often with their babies."
B0677.57,"The baboons are sitting in, on, or standing in the trees, while the elephants are standing in the brush or on top of trees."
B1042.22,The animals are sitting on cliffs and rocks.
B0885.11,"Birds and bears are sitting on rocks in various environments, including forests, fields, and deserts."
B1023.28,The monkeys and baboons are sitting and standing on top of and beside rocks and cliffs.
B0802.3,"Animals such as monkeys, baboons, bears, and elephants are sitting in trees, with some sitting in branches, on top of branches, or with their trunks or heads in the branches."
B0984.3,"Monkeys and baboons are climbing, standing, and sitting on cliffs and rocks."
B0694.42,"The animals, including baboons and monkeys, are sitting in or on trees, both in the wild and on hills."
B0776.15,The baboons are sitting.
B0670.48,The baboons sit and sit on branches in the wild.
B1044.12,Monkeys are sitting or standing on top of or at the edge of a cliff.
B0729.35,The monkeys and baboons are sitting on and in the trees.
B0274.5,"Monkeys, baboons, birds, and kangaroos are seen walking on the ground or in the desert."
B0912.25,"The animals, including monkeys, baboons, and a brown bear, are sitting, sleeping, laying, hiding, and standing on or in rocks, cliffs, and holes in the ground or desert."
B0410.5,"The animals are laying on the ground near rocks, either individually or in groups, in various locations such as the desert or rocky areas."
B0839.4,The animals sit on the rocks in the water.
B0229.5,"The animals, including baboons, monkeys, kangaroos, and birds, are walking through and across the desert."
B0682.22,The baboons and monkeys are sitting on tree branches in the woods and wild.
B0803.28,"Various animals, including monkeys, elephants, bears, giraffes, and eagles, are sitting, standing, and even eating in trees."
B0286.6,"The kangaroos, birds, and other animals are walking through the desert."
B0309.6,"Animals and birds are walking, sitting, and standing on dirt paths, hills, and ground in the desert."
B1035.63,"The animals are sitting, standing, and perching on cliffs and rocks."
B0673.38,The baboons and monkeys are sitting in and on the branches of trees.
B0754.17,The animals are climbing and sitting on top of trees.
B1052.30,"The animals, including bears, penguins, monkeys, and birds, are standing, sitting, and climbing on top of and around rocks."
B0967.53,Monkeys and baboons are sitting on rocks and top of rocks.
B1014.50,"Monkeys, seals, penguins, and bears are sitting on top of rocks."
B0769.50,"Various animals, including monkeys, baboons, elephants, bears, and a giraffe, are sitting in or on trees."
B0096.4,"Animals such as monkeys, leopards, giraffes, and elephants are sitting in trees."
B0637.1,"The animals, including elephants, monkeys, birds, and baboons, are sitting in and on trees in various locations such as hills, branches, and the wild."
B0956.4,"The baboons, kangaroos, and monkeys are drinking water from small pools and gathering around water holes."
B0933.5,"The baboons and monkeys are standing, walking, and climbing on rocks and hillsides."
B0397.10,Baboons are sitting on the rocks.
B1045.32,"Monkeys, birds, and bears are sitting and standing on cliffs and rocks."
B0880.18,"Animals are seen laying, standing, sitting, and perching on or next to rocks and water in various settings."
B0684.1,"The animals are sitting in trees, standing in trees, and perching in trees, often near rocks, hills, mountains, and in forests and deserts."
B0012.7,"Monkeys and elephants are standing, sitting, and walking on rocks in the river."
B0739.37,"The animals, including baboons, monkeys, and an elephant, sit in trees in both wild and desert environments."
B0724.8,"The monkeys and baboons are sitting in and on trees, while the elephants are also sitting in trees, with some of them sticking their trunks out or in the air."
B0200.6,"Animals such as bears and birds are moving through various environments, including woods, brush, fields, and grass, standing, sitting, and walking."
B0894.9,The animal stands on top of some rocks.
B0788.30,"The baboons, monkeys, elephants, chimpanzees, gorillas, and other animals are sitting in the trees."
B0057.5,The baboons and monkeys are sitting in the trees.
B0802.6,"Animals, including monkeys, baboons, and a brown bear, are sitting in or on trees, often on branches, with some looking at the camera or with their mouths open."
B1039.6,Monkeys and baboons are sitting and standing on top of cliffs and rocks.
B0845.2,"Animals, including birds, monkeys, bears, and cats, are seen sitting, standing, or perching on rocks and plants in various environments."
B0670.39,The baboon is sitting on a tree branch in the wild.
B0918.12,The animals are sitting on the rock and ground.
B0201.8,"Animals are seen sitting, standing, laying, and standing in various locations, including the ground, dirt, grass, and holes."
B0770.24,"Animals of various species, including elephants, baboons, and monkeys, are sitting in or on trees in the desert, hills, and wild."
B0458.5,"The baboons are standing, sitting, and walking on the ground and rocks."
B0889.52,"The animals, including monkeys, meerkats, and giraffes, are walking and standing on top of rocks and in the water."
B0583.8,Monkeys and baboons are sitting on rocks and a cliff.
B1042.2,"The animals are sitting, standing, and perching on various cliffs and rocks."
B0390.9,The monkeys and baboons are sitting on or climbing rocks and logs.
B0188.9,"Animals of various species, including monkeys, bears, and birds, are seen sitting, standing, walking, and climbing on rocks, both on land and in water."
B1029.42,"Birds are sitting on rocks, cliffs, and in the ocean."
B0735.26,"Baboons sit in trees, both individually and in groups, often with other baboons or other animals."
B0814.37,"The baboons and elephants sit in trees, either alone or with others, and look around."
B0501.1,"The animals are playing, sitting, and laying on the ground and on top of each other, often in groups, and in various combinations."
B1034.17,"The bear is standing, sitting, and climbing, while the bird is sitting."
B0370.8,"The bears and monkeys are sitting, hiding, and standing on or in rocks, cliffs, and rock formations."
B0812.12,"The baboons sit, stand, walk, and gaze in various locations, including trees, branches, hills, and bushes."
B0949.23,"The baboons are sitting, standing, and perching on rocks, near water, and on top of some rocks."
B0807.46,"Monkeys and birds are sitting in trees in various locations, including near dirt roads, rivers, and in the desert."
B0756.38,The baboons are sitting in the trees.
B0578.5,"Bears, monkeys, squirrels, and birds are climbing up cliffs, rock faces, and mountains."
B0221.3,"The animals, including baboons, monkeys, and kangaroos, are walking across various terrain, including dirt fields and deserts."
B0801.4,The baboons are sitting in various locations on and in the branches of a tree.
B0981.3,"The animals, including monkeys, lizards, bears, cats, frogs, and meerkats, are sitting, standing, and climbing on top of rocks in various locations, including caves and the ocean."
B0942.5,The baboons are walking and standing on the rocks.
B0777.25,The baboons are sitting in the tree.
B0055.14,Baboons sit on top of trees.
B0225.2,"The animals, including kangaroos, monkeys, birds, and baboons, are walking across the desert terrain."
B0799.38,The baboons are sitting in the branches of a tree.
B0786.50,Gorillas and baboons are sitting and standing in the trees.
B0792.33,"The animals are standing, laying, sitting, and sleeping in various locations, including trees, fields, deserts, forests, and woods."
B0766.26,"The baboons are sitting on various surfaces, including hills, trees, and the ground."
B0285.5,"The birds, monkeys, and baboons are walking on the ground in various locations, including the desert."
B0859.14,"The animals, including monkeys, bears, elephants, and baboons, are seen swimming, standing, and playing in the river."
B1005.24,"Monkeys and baboons are sitting, standing, and climbing on rocks and cliffs."
B0249.3,"The birds sit, stand, and walk on the ground in the desert."
B0805.7,"Monkeys are climbing, sitting, and perching in trees in the wild."
B0803.37,"The gorillas, baboons, and monkeys are all sitting in trees."
B0900.63,"The animals are simply existing or sitting on the rock, with no actions described."
B0885.40,"Animals are swimming, sitting, standing, and playing in the water, while others are perched on rocks or floating nearby."
B0769.6,"The monkeys, elephants, and baboons are sitting in and on the branches and trunks of trees in various environments, including the wild, forest, and desert."
B0636.56,The animals are sitting in or on the tops of trees.
B0846.11,"Elephants, crocodiles, monkeys, and other animals are seen standing, standing next to, or swimming in the water near rocks."
B1011.62,"The animals, including elephants, monkeys, and baboons, are climbing, sitting, and standing on rocks and cliffs."
B1058.62,The tree is growing out of the side of the cliff.
B0797.58,The baboon is sitting on top of a tree/bushes.
B0983.18,"Animals of various species, including birds, bears, and monkeys, are climbing, sitting, and perched on rocks and cliffs."
B0671.8,"The baboons sit in trees, both individually and in groups."
B0804.11,"The animals, including monkeys, elephants, baboons, leopards, and a giraffe, are sitting or standing in trees and in the desert."
B1003.6,"The monkeys and baboons are climbing, sitting, and standing on rocks and cliffs."
B0538.10,"The animals are sitting, standing, and laying on top of rocks."
B0367.7,The monkeys and baboons are standing on or in front of the rocks.
B0406.2,"The animals, including kangaroos, monkeys, and baboons, are laying, sitting, and resting on the ground and rocks."
B0891.16,"The monkeys and baboons are seen jumping, swimming, and sitting on rocks and logs."
B0377.2,"Monkeys are climbing, sitting, and perched on various surfaces, including cliffs, rock faces, and rocks."
B0130.7,The baboon sat on top of a tree.
B0687.30,The baboons are sitting.
B0294.12,"The birds, monkeys, baboons, and kangaroos are walking on the ground in the desert and across dirt fields."
B0781.60,"Monkeys and baboons are sitting in and on trees in various locations, including deserts, forests, hills, and mountains."
B0954.3,"The baboons are sitting, standing, and perching on various rocks."
B0068.14,Monkeys are sitting in trees.
B0649.13,"The giraffes and baboons are standing, sitting, and perching on trees and branches in the wild."
B1038.59,"Birds are perched on various rock formations, including cliffs, walls, and faces."
B0709.20,Baboons are sitting or hanging from tree branches.
B0780.37,Monkeys and baboons are sitting in trees.
B0677.53,"The animals, including elephants, baboons, and a giraffe, are sitting and standing in trees and bushes in the wild."
B0799.4,The baboons are sitting in and on various parts of the trees and on the ground.
B0365.4,The monkeys and baboons are sitting on the rocks.
B0438.2,Monkeys are sitting or standing on top of some rocks.
B0378.4,"Monkeys and baboons are climbing up cliffs, rocks, and rock faces, while a bear is standing or sitting on the side or top of a cliff."
B0654.54,The baboons sit on tree branches.
B0999.10,The baboons and monkeys are sitting and standing on top of rocks and cliffs.
B0970.31,"Monkeys, bears, and a bird are climbing up rocks and cliffs, while some sit on top or perched on the sides."
B0790.61,"Animals of various species, including monkeys, koalas, kangaroos, and bears, are sitting, hanging, or perched in trees, both in the wild and in deserts."
B0732.11,The baboons and monkeys are sitting in trees.
B0695.33,"The baboons sit in trees, climb up trees, and sit near each other and the water, while lions sit in trees, stand in front of trees, and sit with each other, and a monkey also sits in a tree."
B0407.8,"Monkeys and baboons sit, lay, and play on rocks and the ground."
B0279.9,"Monkeys, kangaroos, baboons, and birds are walking, flying, and hopping across the desert and dirt fields."
B0667.63,The monkeys and baboons are sitting in and on trees.
B0687.4,"Animals, including baboons, giraffes, elephants, and a kangaroo, are sitting or standing in trees."
B0600.6,The baboons and monkeys sit on rocks.
B0426.8,"Animals of various sizes and species are sitting on, near, or atop rocks."
B0472.4,The baboons are sitting.
B0656.65,The monkeys and baboons are sitting in or on trees.
B0676.59,"The animals, including baboons, bears, kangaroos, monkeys, and a giraffe, are sitting in trees."
B0958.21,The baboons are sitting on the rocks.
B0057.6,"The animals, including baboons, monkeys, elephants, giraffes, bears, and lions, are sitting in or on trees."
B0679.7,Monkeys and baboons are sitting in or on tree branches and trees.
B0816.41,"Monkeys and elephants are sitting and laying in trees, branches, and near rocks and rivers."
B0363.11,"The monkeys and baboons are standing, sitting, and perching on rocks and cliffs."
B0682.38,"Baboons are sitting in various locations, including on tree branches, in trees, and on the ground."
B0695.45,The baboons and monkeys are sitting in the trees.
B0791.7,"The animals, including baboons and monkeys, are sitting in trees."
B0769.13,"Animals of various species, including monkeys, eagles, elephants, giraffes, and iguanas, are sitting in trees or on tree branches."
B0642.56,Baboons are sitting on branches.
B0687.27,The baboons are sitting in the trees.
B0815.41,"Monkeys and elephants are sitting in and on trees, with some monkeys sitting on branches and one baboon looking at the camera."
B0759.12,"The animals are sitting in trees, including monkeys, baboons, elephants, and a giraffe, in various locations such as the wild, on hills, and in deserts."
B0711.35,"The baboons and warthogs are sitting in and on various locations, including the ground and trees."
B1055.1,"The cat sits, stands, and walks, while the bear stands, sits, and walks on rocks, sometimes in the dark."
B0682.39,The baboons are sitting.
B0791.15,"Animals such as baboons, kangaroos, and monkeys sit, sit on branches, and stand in trees."
B0382.7,Monkeys and baboons are sitting on top of trees.
B0023.3,"Monkeys, elephants, horses, zebras, and people are shown swimming or standing in the water."
B0756.10,"The baboons, monkeys, and elephants are all sitting in the trees."
B0250.8,"The animals are walking, standing, and moving through the desert, exploring and traversing the sandy terrain."
B0083.10,"The baboons sit, sit, and sit some more in various tree branches, often with each other or other animals."
B0090.13,The baboons are sitting in and on trees.
B1008.16,"Monkeys, elephants, baboons, and other animals are standing, sitting, and perching on top of cliffs and rocks."
B0815.10,"The monkeys, elephants, baboons, and bears are all sitting in trees."
B0345.1,"The animals, including birds, baboons, monkeys, and a kangaroo, are walking, sitting, and roaming on the ground and in the desert."
B1001.44,Monkeys and bears are standing and sitting on the edge of a cliff.
B0744.4,"The animals are standing, sitting, and walking in the forest, woods, and grass, often near trees and rocks."
B0929.23,The baboons are sitting on the rocks.
B1013.16,Monkeys and baboons are sitting on rocks.
B0913.5,"Monkeys and baboons are standing, sitting, and perching on the ground and rocks."
B0997.55,"The animals, including bears, monkeys, and a bird, are sitting, standing, and climbing on top of rocks."
B1065.14,"Animals, including monkeys, bears, leopards, and a bird, are climbing up cliffs, rock faces, and walls."
B0771.5,"The baboons sit, sit, and sit some more in various locations, including trees, branches, and the ground."
B0716.5,The baboons are sitting in the branches of a tree.
B0796.59,The baboon is sitting on a tree branch.
B0864.12,"The animals, including monkeys, bears, and mountain lions, are climbing, sitting, and standing on rocks."
B0921.5,"The baboons, monkeys, and other animals are seen climbing, standing, playing, fighting, and exploring rocks near water."
B0219.5,"The animals are standing, walking, and hopping around in the dirt and desert."
B0795.17,The animals are sitting on or in trees.
B0120.3,The animals are sitting in the trees.
B0409.5,"Monkeys, baboons, and other animals are laying and sitting on the ground and rocks."
B0817.54,"The giraffes are standing in the desert, in trees, and in a field, while the elephants, hyenas, and bears are also present in various locations."
B0628.8,"The bears, monkeys, birds, and bats are standing, sitting, or perching on rocks, cliffs, and walls."
B1038.22,"Birds are seen perched, sitting, and flying around rocks and caves."
B0681.8,"The baboons sit on trees, branches, and the ground, while elephants walk, stand, and sit in the bushes and near rivers."
B0922.24,"Monkeys and other animals are sitting, standing, and perching on rocks, both individually and in groups, in various locations, including the desert."
B0717.24,"The baboon sits on top of various surfaces, including tree branches and hills."
B0717.35,The baboon is sitting on top of a tree.
B0789.50,"The monkeys, koalas, and leopards are sitting or standing in the trees in the desert."
B0745.22,"The animals, including monkeys, lions, giraffes, elephants, leopards, baboons, and deer, are sitting, standing, or perching in trees in the wild."
B0838.15,"The animals, including monkeys, lizards, birds, and a mountain lion, are seen climbing, sitting, and standing on rocks and the ground."
B1043.41,"The monkey, bird, bear, and person are all sitting or standing on or near the cliff."
B0804.21,"Animals, including baboons, elephants, and giraffes, are sitting and standing in trees, both on top and in the middle, in the desert."
B0969.48,Monkeys and bears are sitting on rocks and cliffs.
B1013.7,Monkeys and baboons are sitting or standing on various rocks and cliffs.
B1024.37,The monkeys and baboons are sitting on the rocks.
B0816.1,"The monkeys, baboons, elephants, and bears are all sitting in or on trees, with some sitting on branches, trunks, and tops of trees."
B1048.60,The animals are standing and sitting on top of rocks.
B0746.10,"Animals such as monkeys, giraffes, leopards, and birds are sitting or standing in trees in various locations, including the desert, wild, and forest."
B0891.17,"The animals, including monkeys, elephants, and baboons, are seen swimming, sitting, and playing on the rocks in the river."
B1044.26,The monkeys sit or stand on the edge of the cliff.
B0701.9,"The animals, including cheetahs, baboons, leopards, monkeys, and an elephant, are climbing, sitting, and hanging out in the trees."
B0254.3,"The animals are walking, standing, sitting, and laying on the ground in the desert."
B0791.24,"Animals such as baboons, monkeys, and koalas are sitting in trees."
B0903.7,"Elephants and other animals are swimming, standing, and sitting in the water near rocks."
B0650.33,Two baboons are sitting on top of a tree.
B0677.8,The baboons and monkeys are sitting in and on top of the trees.
B0652.19,Monkeys and giraffes sit and stand in trees in the wild.
B0212.8,"The animals are walking, walking, and walking - down dirt roads, paths, and hills, and even through brush and on the ground."
B0450.10,"The animals, including baboons and monkeys, are climbing, sitting, standing, and fighting on and around rocks."
B0766.28,"Baboons sit, stand, and perch on various surfaces, including tree branches, hills, and piles of branches."
B0941.21,"The baboons move around, walking on rocks near water, on a rocky hillside, and along the rocky hillside."
B0036.4,The animals are walking on the ground.
B0445.1,"The animals, including baboons, mountain goats, and monkeys, are walking and standing on rocky hillsides and hills."
B0187.10,"Animals, including monkeys, bears, cats, birds, and a mountain lion, are climbing, sitting, standing, and resting on rocks and in the water."
B1030.11,Monkeys are sitting and standing on rocks and cliffs.
B0807.32,Monkeys are sitting in trees in various locations.
B0849.21,"The water flows over rocks, plants, trees, and grass."
B0417.1,"The animals, including monkeys and a bear, are sitting, standing, hiding, and sitting on top of rocks."
B0104.2,The baboons are sitting in the trees.
B0809.19,The baboons and monkeys are sitting in the trees.
B0642.11,The baboons are sitting on tree branches.
B0969.26,The monkeys are sitting on the edge or top of a cliff.
B0012.11,"The monkeys, baboons, and elephants are standing on rocks in the river, crossing the water, and sitting on rocks."
B0812.35,"The monkeys, baboons, and squirrels are sitting in and on the branches and top of trees."
B0551.1,"Wild animals are sitting, standing, and walking on the ground in various environments, including forests, fields, deserts, and woods."
B0473.1,The baboons are sitting.
B0776.41,"The animals, including birds, monkeys, and a grizzly bear, are sitting in or on trees, perched on branches, or spread their wings."
B0798.55,"The baboon is sitting, eating, and interacting with its surroundings in various locations, including trees, bushes, and branches."
B0854.5,"Monkeys, bears, birds, cats, and mountain lions are seen climbing, sitting, standing, and walking on rocks."
B0619.10,"The monkeys and baboons are sitting, sitting, and climbing on cliffs and rocks."
B0846.29,"Animals, including elephants, birds, and others, are swimming, standing, and sitting in the river, on rocks, and on tree branches."
B0067.7,Monkeys and baboons are sitting in trees.
B0891.7,"The animals, including bears and mountain lions, are sitting and standing on rocks in various locations."
B0754.15,The animals are sitting on or in trees.
B0754.13,Elephants and monkeys are climbing and sitting on top of trees and hills.
B0922.17,"Monkeys and baboons are seen sitting, standing, climbing, and mating on and around rocks."
B0707.23,The baboon is sitting in a tree.
B0809.6,"Monkeys, baboons, elephants, and a giraffe are sitting or standing in trees in the wild."
B0995.43,"Monkeys, lions, bears, baboons, and small animals are standing or sitting on cliffs and rocks."
B0346.4,"The animals, including monkeys and birds, are walking in the desert."
B0193.2,"Monkeys and elephants sit and stand on rocks and logs in the water, with some even sitting on top of each other."
B0647.54,"Baboons are sitting on various surfaces, including hills, piles of branches, trees, leaves, grass, and brush."
B1026.60,Monkeys are sitting on top of rocks.
B0759.24,"Animals of various species, including monkeys, giraffes, baboons, lions, elephants, and bears, are sitting in trees in the wild."
B0787.52,"Animals, including gorillas, baboons, monkeys, and elephants, are sitting in or on trees, hills, and deserts."
B1032.49,"The eagle and bird perch on cliffs and rocks, while a bear stands on top of a rock wall."
B0742.18,Baboons and monkeys are sitting in or on trees and branches.
B0683.29,"Elephants, eagles, leopards, giraffes, and a black bear are standing, sitting, and perching in trees in the desert."
B0748.2,"The animals are seen laying, sitting, standing, walking, and climbing on the ground, in trees, and on hillsides."
B0460.10,"Baboons are walking, playing, standing, and standing on a hill, while monkeys are walking and standing on the ground."
B0692.23,"The animals, including monkeys, elephants, baboons, zebras, and a lion, are climbing and sitting on top of trees and hills."
B0771.32,The baboons and monkeys sit on top of trees and tree branches.
B1040.14,"The bears stand on top of rocks, in caves, and on cliff sides."
B0820.7,The monkeys are sitting on rocks in the water.
B0191.5,"The animals, including monkeys, elephants, and bears, are seen standing, sitting, and standing on rocks, both on land and in water."
B0790.15,"Animals, including monkeys, baboons, koalas, and kangaroos, are sitting in trees."
B0036.10,"Elephants, deer, goats, horses, and other animals are walking, standing, and grazing on the ground, hills, and deserts."
B0772.61,The baboons and elephants are sitting in the trees.
B0639.21,The baboon is sitting on a tree branch.
B0794.48,Monkeys and giraffes are sitting and standing in trees in the desert.
B0617.9,"Monkeys, bears, cats, and small animals are climbing up rocks and cliffs."
B0912.16,"The animals are sitting, laying, or hiding on or in rocks, with some birds, monkeys, and bats occupying various positions on and around the rocks."
B0736.21,The baboons and monkeys are sitting in and on the trees.
B0995.20,"The monkeys and baboons are climbing, standing, sitting, and perching on rocks and cliffs."
B0765.7,The baboon is sitting on a tree branch.
B0089.6,"Animals are sitting or standing in trees in various locations, including the forest, wild, road, river, and desert."
B0789.19,"The animals are sitting in trees, including monkeys, leopards, baboons, and giraffes, in both wild and desert environments."
B0798.61,"The baboons and monkey are sitting, eating, and resting in and around trees and bushes."
B0025.6,"The animals are swimming, walking, and standing in the water, field, and wild."
B0840.4,"Monkeys, birds, bears, and elephants climb, sit, and perch on rocks, while some plants grow out of the rocks."
B0698.4,"Various animals, including birds, giraffes, monkeys, leopards, and elephants, are sitting or standing in trees in the wild."
B0021.8,"Animals of various species, including elephants, monkeys, giraffes, baboons, and penguins, are standing, walking, and standing on rocks and in the water."
B0555.3,"Monkeys, baboons, squirrels, and an elephant are walking, standing, and crossing rocky hillslides."
B0777.3,"Baboons sit, stand, and perch on the ground, trees, and branches, both individually and in groups."
B0685.9,"Animals, including monkeys, chimpanzees, baboons, grizzly bears, black bears, and kangaroos, are sitting, climbing, and eating in trees in the wild."
B0594.1,"The animals are standing, sitting, and climbing on cliffs and rocks."
B0068.7,The monkeys and baboons are sitting in the trees.
B0042.4,"The baboons are sitting, standing, eating, and sitting in or on trees and the brush."
B0768.13,"Animals are sitting in trees, eating leaves, perched on branches, and looking out at their surroundings."
B0661.4,The baboons and monkeys sit in trees in the wild and forest.
B0921.20,The baboons and monkeys were climbing on rocks in the desert.
B0626.4,"Bears are standing, sitting, and perching on various rocks, cliffs, and walls."
B0800.20,The baboons are sitting in a tree.
B0072.5,The baboons are sitting on and in the trees.
B0891.8,"The animals are sitting, standing, perched, and resting on rocks and in the water."
B0653.49,The baboons are sitting in the branches of a tree.
B0790.26,"Monkeys, koalas, and baboons are sitting in and on trees in various environments, including forests and deserts."
B0646.33,Baboons sit on top of hills and trees.
B0409.8,"The animals, including monkeys and baboons, are laying on the ground or sitting on rocks."
B0689.45,"The baboons and monkeys sit on top of trees in various locations, including the desert, forest, and hill."
B0922.25,"The monkeys and baboons are sitting, standing, and climbing on the rocks."
B0940.7,"The monkeys and baboons are sitting, standing, and drinking water from rocks and water sources."
B0722.11,The baboon is sitting in various locations in trees.
B1006.10,The baboons and monkeys sit and stand on top of rocks and cliffs.
B0522.5,"Animals, including bears and birds, are standing, sitting, and hiding in and around rocks, bushes, and deserts."
B0648.42,"The baboons and monkeys are sitting, standing, and perching on trees and branches in various locations."
B1050.44,"The monkeys are climbing, standing, and sitting on rocks and cliffs, while the bear is also climbing and standing on rocks."
B1006.18,"Monkeys and baboons are standing, sitting, and perching on cliffs and rocks."
B0679.34,"The baboons are sitting, standing, and eating on the ground and in trees, often in pairs or groups."
B1050.25,"The monkeys are climbing up the sides of cliffs and rocks, while a bear stands nearby."
B0762.19,"Monkeys are sitting, standing, and climbing in trees, while snakes are sitting in trees, and a giraffe is standing in the middle of a tree."
B0804.45,"Animals, including baboons, elephants, giraffes, and monkeys, are standing or sitting on top of trees, hills, and rocky formations in the desert and other locations."
B0679.24,"Baboons sit in trees in various locations, including forests, deserts, and near roads."
B0667.32,"Various animals, including bears, elephants, giraffes, monkeys, lions, and wildebeest, are sitting in trees."
B0923.6,"Baboons are seen sitting, standing, and climbing on the ground and rocks."
B0301.5,"The animals, including birds and monkeys, walked in the desert."
B0698.23,"The animals are sitting, standing, and perching in trees, with monkeys, giraffes, lions, hyenas, birds, leopards, and elephants all present."
B0783.21,Baboons and monkeys are sitting in trees and on top of hills and branches.
B0997.8,"The animals are climbing up a rock wall, standing on top of rocks, and standing on the side of a cliff."
B0999.43,"Monkeys and baboons are sitting, standing, and climbing on rocks and cliffs."
B0653.26,The baboons are sitting in or on the branches of a tree.
B0850.26,"The animals are sitting, standing, swimming, and drinking from the water, and some are even sitting on top of rocks in the stream."
B0775.5,The baboons sit on and in trees.
B0974.37,"The monkeys and baboons are standing, sitting, climbing, and perching on rocks and cliffs."
B0817.51,The giraffes and elephants climb and sit in trees in the desert.
B0824.4,"The birds sit, turtles sit, swim, and cross the river, while other animals are present in the water."
B0719.17,"The baboons are sitting, eating, and standing on top of trees."
B0117.4,The baboons sit on tree branches.
B0506.7,The baboons are sitting on the rocks.
B0809.58,"Monkeys and baboons are sitting in trees in various locations, including deserts, forests, and wild areas."
B0613.6,Monkeys and birds are climbing up rock walls and cliffs.
B0796.60,The baboon is sitting on a tree branch.
B0844.13,"I apologize, but there is no information provided about the actions of animals. The description only mentions an aerial view of a river with rocks and water."
B1037.45,"Birds are seen sitting on top of rocks, cliffs, and rock walls."
B1002.40,Monkeys and baboons are sitting on rocks and cliffs.
B0533.2,Baboons are sitting or standing on various rocks and ground.
B0456.13,"The baboons are standing, walking, and sitting on the ground."
B0681.57,"The baboons, warthog, kangaroo, and elephant are all sitting, laying, or standing in various locations near trees."
B0697.31,"Animals of various species, including hyenas, cheetahs, elephants, gorillas, monkeys, and giraffes, are sitting, standing, and perching in trees."
B0300.3,"The animals, including monkeys, kangaroos, and birds, are walking, standing, and roaming on the ground in the desert."
B0701.5,"The animals are sitting in or standing on trees, including leopards, elephants, cheetahs, giraffes, monkeys, and lions."
B0423.9,The baboons and monkeys are sitting on the rocks.
B0725.23,"Elephants are sitting, standing, and perching on top of, in, and within various locations such as trees, hills, and fields."
B0364.3,The monkeys sit on the rocks.
B0996.30,"The animals are standing, sitting, and perching on rocks and cliffs."
B1054.33,"An owl, bear, penguin, and bird sit or stand in the dark cave, on rocks, or on top of rocks."
